Generating SQLite file benches/pxq4-v100/results/decode-profile.sqlite from benches/pxq4-v100/results/decode-profile.nsys-rep
Processing [benches/pxq4-v100/results/decode-profile.sqlite] with [/opt/nvidia/nsight-systems-cli/2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.6,7611239,2640,2883.0,2656.0,1696,4064,677.2,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.6,6523783,2640,2471.1,2528.0,1792,3072,237.4,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.5,5710289,160,35689.3,35120.0,22496,53407,8462.5,"void pxq4_mmvq_coalesced<(bool)1, (bool)1, (int)4, (int)4, (int)4>(pxq4_mmvq_args)"
0.5,5313709,580,9161.6,5696.0,2592,25824,7081.4,"void mul_mat_vec_q<(ggml_type)39, (int)4, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,4741680,580,8175.3,5184.0,2176,25280,5673.1,"void mul_mat_vec_q<(ggml_type)39, (int)2, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,4741289,1300,3647.1,3680.0,2048,4192,240.9,"void flash_attn_combine_results<(int)256>(const float *, const float2 *, float *, int)"
0.3,3132505,1320,2373.1,2336.0,1600,2912,198.1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,1748887,120,14574.1,14624.0,13728,15456,366.0,"void concat_non_cont<unsigned int, (int)0>(const char *, const char *, char *, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.1,993567,240,4139.9,4496.0,1824,7424,1947.6,"scale_f32(const float *, float *, float, float, long)"
0.1,933628,80,11670.4,11504.0,10528,14688,672.6,volta_sgemm_64x32_sliced1x4_tn
0.1,891930,120,7432.8,7600.0,5376,9055,1020.8,"void gated_delta_net_cuda_128x4_volta<(bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int)"
0.1,881758,160,5511.0,5696.0,2752,8864,1880.9,"void mul_mat_vec_f<float, float, (int)2, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.1,689885,20,34494.3,40352.0,20640,41344,7322.6,"void flash_attn_tile<(int)256, (int)256, (int)2, (int)8, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.0,522110,20,26105.5,25968.0,21440,29600,1551.6,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.0,215072,80,2688.4,2720.0,2144,3424,244.7,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.0,206368,80,2579.6,2496.0,2240,3584,313.3,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,200638,40,5015.9,4800.0,4480,6208,518.0,"void mul_mat_vec_q<(ggml_type)8, (int)4, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,192544,40,4813.6,4784.0,3968,5856,531.5,"void mul_mat_vec_q<(ggml_type)8, (int)2, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,185728,120,1547.7,1312.0,1280,2656,324.7,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.0,175166,80,2189.6,2080.0,1952,3136,252.6,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,56319,20,2815.9,2816.0,2624,2976,75.6,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
