ggml_cuda_init: found 2 CUDA devices (Total VRAM: 54494 MiB):
  Device 0: Tesla V100-SXM2-32GB, compute capability 7.0, VMM: yes, VRAM: 32494 MiB
  Device 1: NVIDIA GeForce RTX 2080 Ti, compute capability 7.5, VMM: yes, VRAM: 22000 MiB
ggml_backend_cuda_graph_compute: CUDA graph warmup complete
ggml_backend_cuda_graph_compute: CUDA graph warmup reset
ggml_backend_cuda_graph_compute: CUDA graph warmup complete
ggml_backend_cuda_graph_compute: CUDA graph warmup reset
ggml_backend_cuda_graph_compute: CUDA graph warmup complete
ggml_backend_cuda_graph_compute: CUDA graph warmup reset
ggml_backend_cuda_graph_compute: CUDA graph warmup complete
ggml_backend_cuda_graph_compute: CUDA graph warmup reset
CPU nt=1 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=1 ns=2 activation=2 max_error=1.49012e-08 PASS
CPU nt=2 ns=2 activation=0 max_error=0 PASS
CPU nt=2 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=2 ns=2 activation=2 max_error=2.98023e-08 PASS
CPU nt=31 ns=2 activation=0 max_error=0 PASS
CPU nt=31 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=31 ns=2 activation=2 max_error=2.98023e-08 PASS
CPU nt=32 ns=2 activation=0 max_error=0 PASS
CPU nt=32 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=32 ns=2 activation=2 max_error=2.98023e-08 PASS
CPU nt=33 ns=2 activation=0 max_error=0 PASS
CPU nt=33 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=33 ns=2 activation=2 max_error=2.98023e-08 PASS
CPU nt=128 ns=2 activation=0 max_error=0 PASS
CPU nt=128 ns=2 activation=1 max_error=2.98023e-08 PASS
CPU nt=128 ns=2 activation=2 max_error=2.98023e-08 PASS
72/108 cases passed on 3 device(s)
